Nombre_del_Producto,Fecha,Cantidad_de_Ventas,precio_unitario_de_venta,costo_unitario_de_compra
Sweet Bread kg,01/01/2023,8,9.45,19.3
Frozen Chicken kg,01/01/2023,42,6.17,4.55
Salsage kg,01/01/2023,15,7.89,5.15
Calabrezza Saussage kg,01/01/2023,3,13.47,9.85
Mozarella Cheese kg,01/01/2023,6,26.73,18.74
Dish Soap Ype Clear 500ml,01/01/2023,4,1.91,1.3
Dish Soap Ype Apple 500ml,01/01/2023,2,1.79,1.3
Dish soap Ype Neutro 500ml,01/01/2023,3,1.79,1.3
Rice Albaruska Pilao 5kg,01/01/2023,6,16.95,15.11
Tomato sauce Elefante 130g,01/01/2023,3,2.15,1.63
Coffee Mineiro 500gr,01/01/2023,4,6.69,5.5
Milky Drink Quatazinho Chocolate 200ml,01/01/2023,8,0.99,0.56
Fries JR Fritas 300g,01/01/2023,13,7.29,5.5
Coffee Mantiqueira 500g,01/01/2023,5,8.19,6.29
Coffee Santa Barbara kg,01/01/2023,4,7.78,5.24
Chicken Steak Perdigao 100gr,01/01/2023,12,1.25,0.85
Corn Flour Mimoso 1kg,01/01/2023,7,1.79,1.27
Beer Clacial 473ml,01/01/2023,41,2,1.91
Salt Marlin 1kg,01/01/2023,15,1.15,0.8
Soy Oil Soya 900ml,01/01/2023,12,3.79,3.19
Wheat Flour Vilma 1kg,01/01/2023,5,2.94,2.66
"Beef ""Acem cut"" kg",01/01/2023,14,18.43,13.12
Bologna Bolonha kg,01/01/2023,3,16.8,11.11
Beer Skol 473ml,01/01/2023,53,2.79,2.45
Corn Flour Moinho Dagua 1kg,01/01/2023,3,3.25,2.2
Soda Coca Cola 2lt reciclable bottle,01/01/2023,36,6.61,4.13
Soda Coca Cola 2lt,01/01/2023,30,6.65,5.69
Common Bread kg,01/01/2023,57,8.01,3.92
Milk cream Quata 200gr,01/01/2023,10,2.39,1.82
Tomato Kg,01/01/2023,25,6.24,4.35
Potato kg,01/01/2023,21,4.54,3.32
Cabbage kg,01/01/2023,1,3.35,1.66
Beetroot kg,01/01/2023,1,2.99,2
Yam kg,01/01/2023,11,3.39,2.25
Green Pepper kg,01/01/2023,6,3.83,2.5
Sweet potato kg,01/01/2023,8,2.53,1.52
Carrots kg,01/01/2023,10,3.39,2.27
Pumpkin kg,01/01/2023,10,2.49,1.25
Oranges kg,01/01/2023,8,2.61,1.8
Garlic Kg,01/01/2023,6,14.98,10.04
Onion Kg,01/01/2023,24,2.95,1.88
Apple Kg,01/01/2023,21,4.39,2.93
Banana kg,01/01/2023,23,2.46,1.57
Lettuce kg,01/01/2023,4,1.3,0.85
Soy Oil Corcovado 900ml,01/01/2023,28,3.65,2.94
"Pork ""Pernil cut"" boneless kg",01/01/2023,14,9.98,6.73
Ground beef kg,01/01/2023,17,12.74,6.85
Generic Ham kg,01/01/2023,5,16.52,8.78
Sweet Bread kg,02/01/2023,8,9.09,2.26
Frozen Chicken kg,02/01/2023,17,6.28,4.57
Salsage kg,02/01/2023,7,7.45,5.11
Calabrezza Saussage kg,02/01/2023,1,13.38,9.88
Mozarella Cheese kg,02/01/2023,3,27.07,15.31
Dish Soap Ype Clear 500ml,02/01/2023,5,1.99,1.3
Dish Soap Ype Apple 500ml,02/01/2023,3,1.79,1.3
Dish soap Ype Neutro 500ml,02/01/2023,6,1.8,1.3
Rice Albaruska Pilao 5kg,02/01/2023,8,17.54,14.83
Powder juice Frech orange 10gr,02/01/2023,9,0.5,0.33
Tomato sauce Elefante 130g,02/01/2023,16,2.19,1.59
Coffee Mineiro 500gr,02/01/2023,13,7.11,5.5
Milky Drink Quatazinho Chocolate 200ml,02/01/2023,12,0.99,0.56
Fries JR Fritas 300g,02/01/2023,9,7.41,5.5
Coffee Mantiqueira 500g,02/01/2023,6,8.19,6.29
Coffee Santa Barbara kg,02/01/2023,3,6.89,5.24
Chicken Steak Perdigao 100gr,02/01/2023,11,1.15,0.85
Corn Flour Mimoso 1kg,02/01/2023,25,1.87,1.3
Beer Clacial 473ml,02/01/2023,19,1.99,1.91
Salt Marlin 1kg,02/01/2023,66,1.15,0.8
Soy Oil Soya 900ml,02/01/2023,11,3.83,3.25
Wheat Flour Vilma 1kg,02/01/2023,44,3.1,2.72
"Beef ""Acem cut"" kg",02/01/2023,4,18.58,12.69
Bologna Bolonha kg,02/01/2023,2,16.96,11.16
Beer Skol 473ml,02/01/2023,10,2.79,2.45
Corn Flour Moinho Dagua 1kg,02/01/2023,10,3.27,2.2
Soda Coca Cola 2lt reciclable bottle,02/01/2023,3,6.53,4.13
Soda Coca Cola 2lt,02/01/2023,2,6.65,5.69
Common Bread kg,02/01/2023,78,8.03,3.92
Milk cream Quata 200gr,02/01/2023,7,2.49,1.84
Tomato Kg,02/01/2023,26,6.01,3.5
Potato kg,02/01/2023,59,4.7,2.82
Zucchini kg,02/01/2023,10,1.72,1.43
Cabbage kg,02/01/2023,10,3.5,1.66
Beetroot kg,02/01/2023,17,3.04,2
Yam kg,02/01/2023,14,3.42,2.03
Green Pepper kg,02/01/2023,3,4.2,2.5
Sweet potato kg,02/01/2023,11,2.59,1.25
Carrots kg,02/01/2023,26,3.4,2.98
Pumpkin kg,02/01/2023,26,2.52,1
Oranges kg,02/01/2023,19,2.72,1.77
Garlic Kg,02/01/2023,7,15.31,10.5
Onion Kg,02/01/2023,19,2.89,1.9
Apple Kg,02/01/2023,16,4.35,2.8
Banana kg,02/01/2023,23,2.49,1.58
Lettuce kg,02/01/2023,63,1.3,0.83
Soy Oil Corcovado 900ml,02/01/2023,41,3.55,2.99
"Pork ""Pernil cut"" boneless kg",02/01/2023,11,10.53,8.9
Ham kg,02/01/2023,3,19.47,12.38
Ground beef kg,02/01/2023,14,12.48,6.89
Generic Ham kg,02/01/2023,2,16.57,10.63
Sweet Bread kg,03/01/2023,9,8.87,2.24
Frozen Chicken kg,03/01/2023,13,6.4,4.9
Salsage kg,03/01/2023,8,7.88,5.1
Calabrezza Saussage kg,03/01/2023,5,13.7,10.03
Mozarella Cheese kg,03/01/2023,2,27.07,14.94
Dish Soap Ype Clear 500ml,03/01/2023,5,1.86,1.3
Dish Soap Ype Apple 500ml,03/01/2023,6,1.84,1.3
Dish soap Ype Neutro 500ml,03/01/2023,6,1.79,1.3
Rice Albaruska Pilao 5kg,03/01/2023,8,17.59,14.87
Powder juice Frech orange 10gr,03/01/2023,11,0.5,0.33
Tomato sauce Elefante 130g,03/01/2023,14,2.36,1.58
Coffee Mineiro 500gr,03/01/2023,9,6.99,5.5
Milky Drink Quatazinho Chocolate 200ml,03/01/2023,2,0.99,0.56
Fries JR Fritas 300g,03/01/2023,6,7.44,5.5
Coffee Mantiqueira 500g,03/01/2023,21,9.16,6.29
Coffee Santa Barbara kg,03/01/2023,5,7.05,5.24
Chicken Steak Perdigao 100gr,03/01/2023,41,1.16,0.85
Corn Flour Mimoso 1kg,03/01/2023,39,1.86,1.29
Beer Clacial 473ml,03/01/2023,4,1.99,1.95
Salt Marlin 1kg,03/01/2023,45,1.17,0.8
Soy Oil Soya 900ml,03/01/2023,8,3.89,3.25
Wheat Flour Vilma 1kg,03/01/2023,28,3.27,2.72
"Beef ""Acem cut"" kg",03/01/2023,4,18.76,12.63
Bologna Bolonha kg,03/01/2023,3,17.22,11.09
Beer Skol 473ml,03/01/2023,2,2.79,2.45
Corn Flour Moinho Dagua 1kg,03/01/2023,13,3.25,2.2
Soda Coca Cola 2lt reciclable bottle,03/01/2023,3,6.88,4.13
Soda Coca Cola 2lt,03/01/2023,3,6.65,5.69
Common Bread kg,03/01/2023,69,8.08,3.92
Milk cream Quata 200gr,03/01/2023,6,2.39,1.84
Tomato Kg,03/01/2023,48,6.01,3.5
Potato kg,03/01/2023,44,4.77,2.8
Zucchini kg,03/01/2023,4,1.69,1.38
Cabbage kg,03/01/2023,18,3.35,1.58
Beetroot kg,03/01/2023,10,3.01,2
Yam kg,03/01/2023,9,3.47,2.02
Green Pepper kg,03/01/2023,3,4.02,2.5
Sweet potato kg,03/01/2023,5,2.61,1.27
Carrots kg,03/01/2023,13,3.44,2.98
Pumpkin kg,03/01/2023,31,2.5,1
Oranges kg,03/01/2023,20,2.69,1.76
Garlic Kg,03/01/2023,9,15.64,10.5
Onion Kg,03/01/2023,15,2.97,1.9
Apple Kg,03/01/2023,14,4.43,2.81
Banana kg,03/01/2023,30,2.49,1.64
Lettuce kg,03/01/2023,64,1.3,0.83
Soy Oil Corcovado 900ml,03/01/2023,42,3.64,2.98
"Pork ""Pernil cut"" boneless kg",03/01/2023,18,10.04,8.9
Ground beef kg,03/01/2023,19,12.94,8.99
Sweet Bread kg,04/01/2023,9,9,23.67
Frozen Chicken kg,04/01/2023,49,6.13,4.52
Salsage kg,04/01/2023,12,7.57,5.12
Calabrezza Saussage kg,04/01/2023,2,13.38,9.56
Mozarella Cheese kg,04/01/2023,4,26.73,18.66
Dish Soap Ype Clear 500ml,04/01/2023,3,1.8,1.3
Dish Soap Ype Apple 500ml,04/01/2023,2,1.79,1.3
Dish soap Ype Neutro 500ml,04/01/2023,5,1.92,1.3
Rice Albaruska Pilao 5kg,04/01/2023,15,16.95,15.16
Powder juice Frech orange 10gr,04/01/2023,15,0.5,0.33
Tomato sauce Elefante 130g,04/01/2023,14,2.16,1.63
Coffee Mineiro 500gr,04/01/2023,8,7.23,5.5
Milky Drink Quatazinho Chocolate 200ml,04/01/2023,30,0.99,0.56
Fries JR Fritas 300g,04/01/2023,3,7.19,5.5
Coffee Mantiqueira 500g,04/01/2023,17,8.36,6.29
Coffee Santa Barbara kg,04/01/2023,4,6.89,5.24
Chicken Steak Perdigao 100gr,04/01/2023,34,1.15,0.85
Corn Flour Mimoso 1kg,04/01/2023,11,1.8,1.3
Beer Clacial 473ml,04/01/2023,12,1.99,1.91
Salt Marlin 1kg,04/01/2023,34,1.15,0.8
Soy Oil Soya 900ml,04/01/2023,23,3.8,3.17
Wheat Flour Vilma 1kg,04/01/2023,26,3.02,2.66
"Beef ""Acem cut"" kg",04/01/2023,10,19.12,13.12
Bologna Bolonha kg,04/01/2023,3,17.03,11.12
Beer Skol 473ml,04/01/2023,15,2.77,2.45
Corn Flour Moinho Dagua 1kg,04/01/2023,14,3.42,2.2
Soda Coca Cola 2lt reciclable bottle,04/01/2023,6,6.62,4.13
Soda Coca Cola 2lt,04/01/2023,20,6.84,5.69
Common Bread kg,04/01/2023,75,7.99,3.92
Milk cream Quata 200gr,04/01/2023,25,2.39,1.83
Tomato Kg,04/01/2023,46,6.08,4.39
Potato kg,04/01/2023,82,4.76,3.57
Zucchini kg,04/01/2023,7,1.69,1.11
Cabbage kg,04/01/2023,12,3.35,1.6
Beetroot kg,04/01/2023,4,2.99,2.2
Yam kg,04/01/2023,4,3.39,2.25
Green Pepper kg,04/01/2023,5,3.79,2.5
Sweet potato kg,04/01/2023,7,2.53,1.52
Carrots kg,04/01/2023,13,3.39,2.5
Pumpkin kg,04/01/2023,28,2.54,1.24
Oranges kg,04/01/2023,5,2.67,1.8
Garlic Kg,04/01/2023,11,15.64,10.02
Onion Kg,04/01/2023,32,2.89,1.88
Apple Kg,04/01/2023,18,4.34,2.89
Banana kg,04/01/2023,19,2.54,1.73
Lettuce kg,04/01/2023,57,1.32,0.85
Soy Oil Corcovado 900ml,04/01/2023,51,3.59,2.98
"Pork ""Pernil cut"" boneless kg",04/01/2023,19,9.99,6.93
Ham kg,04/01/2023,1,19.46,12.52
Ground beef kg,04/01/2023,13,12.44,6.83
Sweet Bread kg,05/01/2023,6,8.97,22.79
Frozen Chicken kg,05/01/2023,31,6,4.5
Salsage kg,05/01/2023,18,6.83,5.11
Calabrezza Saussage kg,05/01/2023,4,13.29,9.56
Mozarella Cheese kg,05/01/2023,7,27,18.75
Dish Soap Ype Clear 500ml,05/01/2023,13,1.84,1.3
Dish Soap Ype Apple 500ml,05/01/2023,12,1.8,1.3
Dish soap Ype Neutro 500ml,05/01/2023,5,1.8,1.3
Rice Albaruska Pilao 5kg,05/01/2023,14,17.39,15.16
Tomato sauce Elefante 130g,05/01/2023,7,2.15,1.63
Coffee Mineiro 500gr,05/01/2023,21,6.71,5.5
Milky Drink Quatazinho Chocolate 200ml,05/01/2023,6,0.99,0.56
Fries JR Fritas 300g,05/01/2023,5,7.2,5.5
Coffee Mantiqueira 500g,05/01/2023,18,8.26,6.29
Coffee Santa Barbara kg,05/01/2023,7,6.89,5.24
Chicken Steak Perdigao 100gr,05/01/2023,54,1.16,0.85
Corn Flour Mimoso 1kg,05/01/2023,26,1.81,1.29
Beer Clacial 473ml,05/01/2023,25,1.99,1.92
Salt Marlin 1kg,05/01/2023,30,1.17,0.8
Soy Oil Soya 900ml,05/01/2023,22,3.82,3.25
Wheat Flour Vilma 1kg,05/01/2023,30,3.03,2.72
"Beef ""Acem cut"" kg",05/01/2023,22,18.44,13.12
Bologna Bolonha kg,05/01/2023,3,16.8,11.11
Beer Skol 473ml,05/01/2023,6,2.79,2.45
Corn Flour Moinho Dagua 1kg,05/01/2023,11,3.37,2.2
